Method,div,accvar1,accvar2,accvar3
KNN,10fold,0.7383541779952874,0.7467826717418887,0.748957766902302
KNN,10/90,0.7101449275362319,0.7164855072463768,0.7210144927536232
KNN,20/80,0.7426370638876303,0.739918441323063,0.7494336202990485
KNN,30/70,0.7305949864089399,0.7342192691029901,0.7360314104500151
KNN,10fold,0.7335335764857327,0.7413645140527784,0.7428663376957734
KNN,10/90,0.6859592711682744,0.6945337620578779,0.7031082529474812
KNN,20/80,0.6943699731903485,0.7126005361930295,0.7190348525469169
KNN,30/70,0.7171969967822667,0.7332856632105827,0.7379335001787629
KNN,10fold,0.730831973898858,0.7401667572956316,0.7474170744970092
KNN,10/90,0.7028985507246377,0.7445652173913043,0.7445652173913043
KNN,20/80,0.7285908473040327,0.7344811961939284,0.7417308563661078
KNN,30/70,0.7308970099667774,0.7396556931440652,0.7456961643008154
KNN,10fold,0.7079934747145187,0.7179626608664129,0.7234910277324633
KNN,10/90,0.6757246376811594,0.6938405797101449,0.7137681159420289
KNN,20/80,0.701857725419121,0.7177163570457635,0.7095604893520616
KNN,30/70,0.7052250075505889,0.7139836907278768,0.7160978556327393
Decision tree,10fold,0.7530360703280768,0.7706180895414174,0.7684429943810042
Decision tree,10/90,0.7409420289855072,0.7653985507246377,0.7653985507246377
Decision tree,20/80,0.7580425917535115,0.7729950158586316,0.7702763932940644
Decision tree,30/70,0.7508305647840532,0.7686499546964664,0.7538508003624282
Decision tree,10fold,0.7582063934777945,0.7738682686118858,0.767646427805192
Decision tree,10/90,0.7631296891747053,0.7770632368703109,0.7695605573419079
Decision tree,20/80,0.7549597855227882,0.7710455764075067,0.7672922252010724
Decision tree,30/70,0.7543796925277083,0.7665355738291026,0.7550947443689667
Decision tree,10fold,0.7530360703280768,0.765905383360522,0.7661772702555737
Decision tree,10/90,0.7409420289855072,0.7626811594202898,0.7626811594202898
Decision tree,20/80,0.7580425917535115,0.7598550067965564,0.7598550067965564
Decision tree,30/70,0.7508305647840532,0.7583811537299909,0.7610993657505285
Decision tree,10fold,0.6385716875113286,0.6826173645096973,0.697389885807504
Decision tree,10/90,0.6585144927536232,0.6820652173913043,0.7101449275362319
Decision tree,20/80,0.6425011327594019,0.6896239238785682,0.7050294517444495
Decision tree,30/70,0.6399879190576865,0.6852914527333132,0.6985804892781637
Naive Bayes,10fold,0.6628602501359435,,
Naive Bayes,10/90,0.6485507246376812,,
Naive Bayes,20/80,0.6642501132759402,,
Naive Bayes,30/70,0.6632437330111749,,
Naive Bayes,10fold,0.6903025101909461,,
Naive Bayes,10/90,0.6784565916398714,,
Naive Bayes,20/80,0.6836461126005362,,
Naive Bayes,30/70,0.6789417232749374,,
Naive Bayes,10fold,0.6995649809679174,,
Naive Bayes,10/90,0.7001811594202898,,
Naive Bayes,20/80,0.708201178069778,,
Naive Bayes,30/70,0.7028088190878888,,
Naive Bayes,10fold,0.6076672104404568,,
Naive Bayes,10/90,0.6132246376811594,,
Naive Bayes,20/80,0.6085183507023109,,
Naive Bayes,30/70,0.6128057988523105,,
MPL (Plot),10fold,0.7429762552111655,,
MPL (Plot),10/90,0.7255434782608695,,
MPL (Plot),20/80,0.7231536021748981,,
MPL (Plot),30/70,0.7203261854424645,,
MPL (Plot),10fold,0.7369663162411499,,
MPL (Plot),10/90,0.7245444801714899,,
MPL (Plot),20/80,0.7281501340482573,,
MPL (Plot),30/70,0.7139792634966035,,
MPL (Plot),10fold,0.6419249592169658,,
MPL (Plot),10/90,0.7427536231884058,,
MPL (Plot),20/80,0.7299501585863163,,
MPL (Plot),30/70,0.6922379945635759,,
MPL (Plot),10fold,0.6945803878919703,,
MPL (Plot),10/90,0.6811594202898551,,
MPL (Plot),20/80,0.6805618486633439,,
MPL (Plot),30/70,0.6689821806100876,,
MPL (GrindSearch),10fold,0.7649084647453326,,
MPL (GrindSearch),10/90,0.7672101449275363,,
MPL (GrindSearch),20/80,0.7598550067965564,,
MPL (GrindSearch),30/70,0.7487163998791906,,
MPL (GrindSearch),10fold,0.7570263891868698,,
MPL (GrindSearch),10/90,0.7331189710610932,,
MPL (GrindSearch),20/80,0.7227882037533512,,
MPL (GrindSearch),30/70,0.7522345370039328,,
MPL (GrindSearch),10fold,0.7551205365234729,,
MPL (GrindSearch),10/90,0.7545289855072463,,
MPL (GrindSearch),20/80,0.727231536021749,,
MPL (GrindSearch),30/70,0.7450921171851405,,
MPL (GrindSearch),10fold,0.707268442994381,,
MPL (GrindSearch),10/90,0.6911231884057971,,
MPL (GrindSearch),20/80,0.7127322156773901,,
MPL (GrindSearch),30/70,0.691633947447901,,