Methodo,Strategy,estimator,accvar10,accvar20,Base
Ada Boosting,10-fold,AD,0.7377197752401667,0.7379010331702012,Original
Ada Boosting,10-fold,k-NN,0.5628058727569332,0.5628058727569332,Original
Ada Boosting,10-fold,NB,0.7120717781402937,0.713431212615552,Original
Ada Boosting,10-fold,MLP,0.7577487765089723,0.7607395323545405,Original
Ada Boosting,90/10,AD,0.7454710144927537,0.7490942028985508,Original
Ada Boosting,90/10,k-NN,0.5706521739130435,0.5706521739130435,Original
Ada Boosting,90/10,NB,0.7309782608695652,0.7309782608695652,Original
Ada Boosting,90/10,MLP,0.7644927536231884,0.7581521739130435,Original
Ada Boosting,80/20,AD,0.7394653375623018,0.7331218849116448,Original
Ada Boosting,80/20,k-NN,0.5831445400996829,0.5831445400996829,Original
Ada Boosting,80/20,NB,0.7036701404621658,0.7036701404621658,Original
Ada Boosting,80/20,MLP,0.7489805165382872,0.7498867240598097,Original
Ada Boosting,70/30,AD,0.7417698580489278,0.7405617638175778,Original
Ada Boosting,70/30,k-NN,0.5756569012382966,0.5756569012382966,Original
Ada Boosting,70/30,NB,0.7009966777408638,0.7009966777408638,Original
Ada Boosting,70/30,MLP,0.7508305647840532,0.7544548474781033,Original
Bagging 1,10-fold,AD,0.6721044045676998,0.6802610114192496,Original
Bagging 1,10-fold,k-NN,0.6487221315932572,0.6787203190139568,Original
Bagging 1,10-fold,NB,0.6078484683704912,0.6340402392604676,Original
Bagging 1,10-fold,MLP,0.6819829617545767,0.6800797534892151,Original
Bagging 1,90/10,AD,0.6856884057971014,0.6847826086956522,Original
Bagging 1,90/10,k-NN,0.6938405797101449,0.677536231884058,Original
Bagging 1,90/10,NB,0.6023550724637681,0.6322463768115942,Original
Bagging 1,90/10,MLP,0.7038043478260869,0.6920289855072463,Original
Bagging 1,80/20,AD,0.6773901223380154,0.6778432260987767,Original
Bagging 1,80/20,k-NN,0.6266425011327594,0.6819211599456275,Original
Bagging 1,80/20,NB,0.6098776619845945,0.6479383778885365,Original
Bagging 1,80/20,MLP,0.663797009515179,0.6746714997734481,Original
Bagging 1,70/30,AD,0.6653578979160375,0.6732105104198127,Original
Bagging 1,70/30,k-NN,0.6442162488674117,0.6774388402295379,Original
Bagging 1,70/30,NB,0.6064633041377228,0.6369676834793114,Original
Bagging 1,70/30,MLP,0.6753246753246753,0.6698882512836001,Original
Bagging 0.3,10-fold,AD,0.7057277505890882,0.6951241616820736,Original
Bagging 0.3,10-fold,k-NN,0.6953960485771252,0.709352909189777,Original
Bagging 0.3,10-fold,NB,0.5909914808772884,0.5948885263730288,Original
Bagging 0.3,10-fold,MLP,0.6838861700199383,0.6911364872213159,Original
Bagging 0.3,90/10,AD,0.7164855072463768,0.6911231884057971,Original
Bagging 0.3,90/10,k-NN,0.6865942028985508,0.6992753623188406,Original
Bagging 0.3,90/10,NB,0.5833333333333334,0.5887681159420289,Original
Bagging 0.3,90/10,MLP,0.7028985507246377,0.6911231884057971,Original
Bagging 0.3,80/20,AD,0.6959673765292252,0.6946080652469415,Original
Bagging 0.3,80/20,k-NN,0.6964204802899864,0.7172632532850023,Original
Bagging 0.3,80/20,NB,0.5881286814680562,0.5976438604440417,Original
Bagging 0.3,80/20,MLP,0.6873584050747621,0.68282736746715,Original
Bagging 0.3,70/30,AD,0.6970703714889761,0.6970703714889761,Original
Bagging 0.3,70/30,k-NN,0.7003926306251888,0.7022047719722139,Original
Bagging 0.3,70/30,NB,0.5898520084566596,0.5974025974025974,Original
Bagging 0.3,70/30,MLP,0.6883116883116883,0.6880096647538508,Original
Bagging 0.5,10-fold,AD,0.7370853724850462,0.7578394054739894,Original
Bagging 0.5,10-fold,k-NN,0.748957766902302,0.7569331158238173,Original
Bagging 0.5,10-fold,NB,0.6015044408192858,0.6206271524379192,Original
Bagging 0.5,10-fold,MLP,0.7348196483596157,0.7346383904295812,Original
Bagging 0.5,90/10,AD,0.75,0.7644927536231884,Original
Bagging 0.5,90/10,k-NN,0.7192028985507246,0.7635869565217391,Original
Bagging 0.5,90/10,NB,0.5942028985507246,0.615036231884058,Original
Bagging 0.5,90/10,MLP,0.7364130434782609,0.7463768115942029,Original
Bagging 0.5,80/20,AD,0.737652922519257,0.7516991391028546,Original
Bagging 0.5,80/20,k-NN,0.7222473946533756,0.7349342999546896,Original
Bagging 0.5,80/20,NB,0.5985500679655641,0.6207521522428636,Original
Bagging 0.5,80/20,MLP,0.7236067059356592,0.7449025826914364,Original
Bagging 0.5,70/30,AD,0.7296889157354274,0.7520386590154032,Original
Bagging 0.5,70/30,k-NN,0.7469042585321655,0.7565690123829659,Original
Bagging 0.5,70/30,NB,0.6049531863485352,0.6251887647236485,Original
Bagging 0.5,70/30,MLP,0.7284808215040773,0.7408637873754153,Original
Bagging 0.8,10-fold,AD,0.7637302882001087,0.7751495377922784,Original
Bagging 0.8,10-fold,k-NN,0.7616458220047126,0.7641834330251949,Original
Bagging 0.8,10-fold,NB,0.6591444625702374,0.6682979880369766,Original
Bagging 0.8,10-fold,MLP,0.7583831792640928,0.7620083378647816,Original
Bagging 0.8,90/10,AD,0.7563405797101449,0.7735507246376812,Original
Bagging 0.8,90/10,k-NN,0.7771739130434783,0.7717391304347826,Original
Bagging 0.8,90/10,NB,0.6413043478260869,0.657608695652174,Original
Bagging 0.8,90/10,MLP,0.7735507246376812,0.7726449275362319,Original
Bagging 0.8,80/20,AD,0.7603081105573176,0.771635704576348,Original
Bagging 0.8,80/20,k-NN,0.7607612143180789,0.7580425917535115,Original
Bagging 0.8,80/20,NB,0.6628908019936566,0.6719528772088809,Original
Bagging 0.8,80/20,MLP,0.752605346624377,0.7530584503851382,Original
Bagging 0.8,70/30,AD,0.7514346118997282,0.7647236484445786,Original
Bagging 0.8,70/30,k-NN,0.7517366354575656,0.7517366354575656,Original
Bagging 0.8,70/30,NB,0.6629417094533374,0.6729084868619752,Original
Bagging 0.8,70/30,MLP,0.7520386590154032,0.7481123527635155,Original
Random Florest,10-fold,gini,0.7668116730106942,0.7756026826173645,Original
Random Florest,90/10,gini,0.7653985507246377,0.7771739130434783,Original
Random Florest,80/20,gini,0.7571363842319891,0.7748074309016765,Original
Random Florest,70/30,gini,0.7653276955602537,0.7689519782543038,Original
Random Florest,10-fold,entropy,0.7633677723400398,0.7769621170926229,Original
Random Florest,90/10,entropy,0.7635869565217391,0.7771739130434783,Original
Random Florest,80/20,entropy,0.7666515632079747,0.7775260534662438,Original
Random Florest,70/30,entropy,0.7598912715191785,0.7671398369072787,Original
Random Florest,10-fold,log_loss,0.7633677723400398,0.7769621170926229,Original
Random Florest,90/10,log_loss,0.7635869565217391,0.7771739130434783,Original
Random Florest,80/20,log_loss,0.7666515632079747,0.7775260534662438,Original
Random Florest,70/30,log_loss,0.7598912715191785,0.7671398369072787,Original
Staking,10-fold,10, 0.7406199021207178,,Original
Staking,90/10,10, 0.7653985507246377,,Original
Staking,80/20,10, 0.7476212052560036,,Original
Staking,70/30,10, 0.7514346118997282,,Original
Staking,10-fold,20, 0.7422512234910277,,Original
Staking,90/10,20, 0.7590579710144928,,Original
Staking,80/20,20, 0.7480743090167649,,Original
Staking,70/30,20, 0.7529447296889157,,Original
Staking,10-fold,6, 0.7395323545405111,,Original
Staking,90/10,6, 0.7771739130434783,,Original
Staking,80/20,6, 0.7770729497054826,,Original
Staking,70/30,6, 0.7783147085472667,,Original
Ada Boosting,10-fold,AD,0.7275693311582382,0.7301975711437375,
Ada Boosting,10-fold,k-NN,0.5841036795359797,0.5841036795359797,
Ada Boosting,10-fold,NB,0.7070871850643465,0.7109842305600871,
Ada Boosting,10-fold,MLP,0.7520391517128875,0.7534892151531629,
Ada Boosting,90/10,AD,0.7436594202898551,0.7445652173913043,
Ada Boosting,90/10,k-NN,0.595108695652174,0.595108695652174,
Ada Boosting,90/10,NB,0.6992753623188406,0.7019927536231884,
Ada Boosting,90/10,MLP,0.7626811594202898,0.7545289855072463,
Ada Boosting,80/20,AD,0.7263253285002266,0.7317625736293611,
Ada Boosting,80/20,k-NN,0.5908473040326234,0.5908473040326234,
Ada Boosting,80/20,NB,0.708201178069778,0.708201178069778,
Ada Boosting,80/20,MLP,0.7485274127775261,0.7471681014952424,
Ada Boosting,70/30,AD,0.7369374811235276,0.7399577167019028,
Ada Boosting,70/30,k-NN,0.5750528541226215,0.5750528541226215,
Ada Boosting,70/30,NB,0.7028088190878888,0.7028088190878888,
Ada Boosting,70/30,MLP,0.7490184234370281,0.7469042585321655,
Bagging 1,10-fold,AD,0.6972992568424868,0.7107123436650353,
Bagging 1,10-fold,k-NN,0.6633133949610295,0.720047127061809,
Bagging 1,10-fold,NB,0.6355809316657604,0.7030088816385717,
Bagging 1,10-fold,MLP,0.675095160413268,0.7185064346565162,
Bagging 1,90/10,AD,0.7101449275362319,0.7228260869565217,
Bagging 1,90/10,k-NN,0.6956521739130435,0.7364130434782609,
Bagging 1,90/10,NB,0.6277173913043478,0.7019927536231884,
Bagging 1,90/10,MLP,0.7192028985507246,0.7164855072463768,
Bagging 1,80/20,AD,0.6887177163570458,0.7181694608065247,
Bagging 1,80/20,k-NN,0.6633439057544177,0.7240598096964205,
Bagging 1,80/20,NB,0.6366107838695061,0.708201178069778,
Bagging 1,80/20,MLP,0.6814680561848664,0.7172632532850023,
Bagging 1,70/30,AD,0.6973723950468137,0.7091513138024766,
Bagging 1,70/30,k-NN,0.625490788281486,0.7182120205376019,
Bagging 1,70/30,NB,0.6454243430987617,0.7034128662035639,
Bagging 1,70/30,MLP,0.6647538508003624,0.7121715493808517,
Bagging 0.3,10-fold,AD,0.6972992568424868,0.7107123436650353,
Bagging 0.3,10-fold,k-NN,0.6633133949610295,0.720047127061809,
Bagging 0.3,10-fold,NB,0.6355809316657604,0.7030088816385717,
Bagging 0.3,10-fold,MLP,0.675095160413268,0.7185064346565162,
Bagging 0.3,90/10,AD,0.7101449275362319,0.7228260869565217,
Bagging 0.3,90/10,k-NN,0.6956521739130435,0.7364130434782609,
Bagging 0.3,90/10,NB,0.6277173913043478,0.7019927536231884,
Bagging 0.3,90/10,MLP,0.7192028985507246,0.7164855072463768,
Bagging 0.3,80/20,AD,0.6887177163570458,0.7181694608065247,
Bagging 0.3,80/20,k-NN,0.6633439057544177,0.7240598096964205,
Bagging 0.3,80/20,NB,0.6366107838695061,0.708201178069778,
Bagging 0.3,80/20,MLP,0.6814680561848664,0.7172632532850023,
Bagging 0.3,70/30,AD,0.6973723950468137,0.7091513138024766,
Bagging 0.3,70/30,k-NN,0.625490788281486,0.7182120205376019,
Bagging 0.3,70/30,NB,0.6454243430987617,0.7034128662035639,
Bagging 0.3,70/30,MLP,0.6647538508003624,0.7121715493808517,
Bagging 0.5,10-fold,AD,0.7462388979517853,0.7644553199202465,
Bagging 0.5,10-fold,k-NN,0.7468733007069059,0.7729744426318652,
Bagging 0.5,10-fold,NB,0.6963023382272975,0.6996556099329345,
Bagging 0.5,10-fold,MLP,0.751042233097698,0.7520391517128875,
Bagging 0.5,90/10,AD,0.7536231884057971,0.7690217391304348,
Bagging 0.5,90/10,k-NN,0.7626811594202898,0.7708333333333334,
Bagging 0.5,90/10,NB,0.6956521739130435,0.7001811594202898,
Bagging 0.5,90/10,MLP,0.7527173913043478,0.7590579710144928,
Bagging 0.5,80/20,AD,0.7412777526053467,0.7689170820117807,
Bagging 0.5,80/20,k-NN,0.7643860444041686,0.771635704576348,
Bagging 0.5,80/20,NB,0.7104666968735841,0.7095604893520616,
Bagging 0.5,80/20,MLP,0.7516991391028546,0.7521522428636158,
Bagging 0.5,70/30,AD,0.7387496224705528,0.760193295077016,
Bagging 0.5,70/30,k-NN,0.7366354575656902,0.7671398369072787,
Bagging 0.5,70/30,NB,0.7022047719722139,0.7040169133192389,
Bagging 0.5,70/30,MLP,0.7411658109332528,0.7490184234370281,
Bagging 0.8,10-fold,AD,0.7511328620627152,0.7705274605764002,
Bagging 0.8,10-fold,k-NN,0.7582925502990756,0.7699836867862969,
Bagging 0.8,10-fold,NB,0.6947616458220047,0.6995649809679174,
Bagging 0.8,10-fold,MLP,0.7533079572231285,0.754304875838318,
Bagging 0.8,90/10,AD,0.7436594202898551,0.769927536231884,
Bagging 0.8,90/10,k-NN,0.7282608695652174,0.7617753623188406,
Bagging 0.8,90/10,NB,0.7010869565217391,0.7028985507246377,
Bagging 0.8,90/10,MLP,0.7617753623188406,0.7644927536231884,
Bagging 0.8,80/20,AD,0.750339827820571,0.7657453556864522,
Bagging 0.8,80/20,k-NN,0.7607612143180789,0.7648391481649298,
Bagging 0.8,80/20,NB,0.708201178069778,0.7095604893520616,
Bagging 0.8,80/20,MLP,0.7485274127775261,0.7562301767104667,
Bagging 0.8,70/30,AD,0.7444880700694654,0.7644216248867411,
Bagging 0.8,70/30,k-NN,0.7571730594986409,0.7650256720024162,
Bagging 0.8,70/30,NB,0.7019027484143763,0.7040169133192389,
Bagging 0.8,70/30,MLP,0.7438840229537904,0.7493204469948656,
Random Florest,10-fold,gini,0.7534892151531629,0.7666304150806598,
Random Florest,90/10,gini,0.7391304347826086,0.7626811594202898,
Random Florest,80/20,gini,0.7426370638876303,0.7598550067965564,
Random Florest,70/30,gini,0.7487163998791906,0.7574750830564784,
Random Florest,10-fold,entropy,0.7560268261736451,0.7662678992205909,
Random Florest,90/10,entropy,0.759963768115942,0.7672101449275363,
Random Florest,80/20,entropy,0.7408246488445854,0.758948799275034,
Random Florest,70/30,entropy,0.7520386590154032,0.760193295077016,
Random Florest,10-fold,log_loss,0.7560268261736451,0.7662678992205909,
Random Florest,90/10,log_loss,0.759963768115942,0.7672101449275363,
Random Florest,80/20,log_loss,0.7408246488445854,0.758948799275034,
Random Florest,70/30,log_loss,0.7520386590154032,0.760193295077016,
