Methodo,Strategy,estimator,accvar10,accvar20,Base
Staking,10-fold,10, 0.747688961392061,,
Staking,90/10,10, 0.7644927536231884,,
Staking,80/20,10, 0.7516991391028546,,
Staking,70/30,10, 0.7568710359408034,,
Staking,10-fold,20, 0.749410911727388,,
Staking,90/10,20, 0.7626811594202898,,
Staking,80/20,20, 0.7507929315813321,,
Staking,70/30,20, 0.7574750830564784,,
Staking,10-fold,6, 0.7421605945260106,,
Staking,90/10,6, 0.7817028985507246,,
Staking,80/20,6, 0.7734481196193929,,
Staking,70/30,6, 0.770764119601329,,
Ada Boosting,10-fold,AD,0.7411499678180649,0.7416863334048487,
Ada Boosting,10-fold,k-NN,0.6193949796181077,0.6193949796181077,
Ada Boosting,10-fold,NB,0.7018880068654796,0.7053207466208968,
Ada Boosting,10-fold,MLP,0.7591718515340056,0.7602445827075734,
Ada Boosting,90/10,AD,0.707395498392283,0.7052518756698821,
Ada Boosting,90/10,k-NN,0.5980707395498392,0.5980707395498392,
Ada Boosting,90/10,NB,0.7020364415862809,0.7041800643086816,
Ada Boosting,90/10,MLP,0.759914255091104,0.7384780278670954,
Ada Boosting,80/20,AD,0.7281501340482573,0.7249329758713137,
Ada Boosting,80/20,k-NN,0.5941018766756032,0.5941018766756032,
Ada Boosting,80/20,NB,0.6991957104557641,0.6991957104557641,
Ada Boosting,80/20,MLP,0.7624664879356569,0.7522788203753351,
Ada Boosting,70/30,AD,0.7311405076868073,0.7311405076868073,
Ada Boosting,70/30,k-NN,0.6017161244190203,0.6017161244190203,
Ada Boosting,70/30,NB,0.694315337861995,0.6946728637826243,
Ada Boosting,70/30,MLP,0.7529495888451913,0.75831247765463,
Bagging 1,10-fold,AD,0.6472859901308732,0.6707788028320103,
Bagging 1,10-fold,k-NN,0.632053207466209,0.6604805835657583,
Bagging 1,10-fold,NB,0.6155331473932633,0.6534005578202102,
Bagging 1,10-fold,MLP,0.640742329972109,0.6759279124651363,
Bagging 1,90/10,AD,0.6334405144694534,0.6645230439442658,
Bagging 1,90/10,k-NN,0.6152197213290461,0.6334405144694534,
Bagging 1,90/10,NB,0.5927116827438371,0.6334405144694534,
Bagging 1,90/10,MLP,0.632368703108253,0.6688102893890675,
Bagging 1,80/20,AD,0.6369973190348526,0.657372654155496,
Bagging 1,80/20,k-NN,0.6262734584450402,0.67828418230563,
Bagging 1,80/20,NB,0.5994638069705094,0.6327077747989276,
Bagging 1,80/20,MLP,0.6375335120643432,0.6815013404825737,
Bagging 1,70/30,AD,0.6378262424025742,0.6485520200214515,
Bagging 1,70/30,k-NN,0.6296031462281015,0.6653557382910261,
Bagging 1,70/30,NB,0.5995709688952449,0.6274579907043261,
Bagging 1,70/30,MLP,0.6278155166249553,0.6603503754022166,
Bagging 0.3,10-fold,AD,0.6998498176357004,0.6937352499463634,
Bagging 0.3,10-fold,k-NN,0.6951298004720017,0.709826217549882,
Bagging 0.3,10-fold,NB,0.6214331688478867,0.6439605234928127,
Bagging 0.3,10-fold,MLP,0.675498819995709,0.6855824930272474,
Bagging 0.3,90/10,AD,0.6945337620578779,0.6677384780278671,
Bagging 0.3,90/10,k-NN,0.6956055734190782,0.6838156484458735,
Bagging 0.3,90/10,NB,0.602357984994641,0.62486602357985,
Bagging 0.3,90/10,MLP,0.6613076098606645,0.669882100750268,
Bagging 0.3,80/20,AD,0.7002680965147453,0.671313672922252,
Bagging 0.3,80/20,k-NN,0.6702412868632708,0.682573726541555,
Bagging 0.3,80/20,NB,0.6080428954423592,0.6332439678284182,
Bagging 0.3,80/20,MLP,0.6579088471849865,0.6729222520107239,
Bagging 0.3,70/30,AD,0.688594923131927,0.6700035752592063,
Bagging 0.3,70/30,k-NN,0.6810868787987129,0.6989631748301752,
Bagging 0.3,70/30,NB,0.6052913836253129,0.6285305684662138,
Bagging 0.3,70/30,MLP,0.653557382910261,0.6689309974973185,
Bagging 0.5,10-fold,AD,0.7351426732460845,0.7514481870843167,
Bagging 0.5,10-fold,k-NN,0.7449045269255525,0.7495172709718945,
Bagging 0.5,10-fold,NB,0.6718515340055782,0.6807552027461918,
Bagging 0.5,10-fold,MLP,0.7392190517056425,0.7453336193949796,
Bagging 0.5,90/10,AD,0.7159699892818864,0.7309753483386924,
Bagging 0.5,90/10,k-NN,0.7470525187566989,0.7427652733118971,
Bagging 0.5,90/10,NB,0.6538049303322615,0.6806002143622722,
Bagging 0.5,90/10,MLP,0.7234726688102894,0.7427652733118971,
Bagging 0.5,80/20,AD,0.7361930294906166,0.7506702412868632,
Bagging 0.5,80/20,k-NN,0.7474530831099195,0.7479892761394102,
Bagging 0.5,80/20,NB,0.6638069705093834,0.6750670241286864,
Bagging 0.5,80/20,MLP,0.7351206434316354,0.7485254691689008,
Bagging 0.5,70/30,AD,0.7250625670361102,0.7472291741151234,
Bagging 0.5,70/30,k-NN,0.7357883446549874,0.7429388630675724,
Bagging 0.5,70/30,NB,0.657847693957812,0.6714336789417232,
Bagging 0.5,70/30,MLP,0.7207722559885592,0.7064712191633894,
Bagging 0.8,10-fold,AD,0.7626045912894228,0.7731173567903883,
Bagging 0.8,10-fold,k-NN,0.7632482299935637,0.763570049345634,
Bagging 0.8,10-fold,NB,0.6900879639562325,0.6900879639562325,
Bagging 0.8,10-fold,MLP,0.7627118644067796,0.7646427805192019,
Bagging 0.8,90/10,AD,0.7395498392282959,0.7534833869239014,
Bagging 0.8,90/10,k-NN,0.7566988210075026,0.759914255091104,
Bagging 0.8,90/10,NB,0.6784565916398714,0.6806002143622722,
Bagging 0.8,90/10,MLP,0.7534833869239014,0.7502679528403001,
Bagging 0.8,80/20,AD,0.7469168900804289,0.7587131367292225,
Bagging 0.8,80/20,k-NN,0.7592493297587132,0.7587131367292225,
Bagging 0.8,80/20,NB,0.685254691689008,0.6847184986595174,
Bagging 0.8,80/20,MLP,0.7571045576407507,0.7571045576407507,
Bagging 0.8,70/30,AD,0.7550947443689667,0.7654629960672149,
Bagging 0.8,70/30,k-NN,0.7601001072577762,0.7575974258133714,
Bagging 0.8,70/30,NB,0.6818019306399714,0.6807293528780837,
Bagging 0.8,70/30,MLP,0.752592062924562,0.7511619592420451,
Random Florest,10-fold,gini,0.7646427805192019,0.7784810126582279,
Random Florest,90/10,gini,0.7513397642015005,0.7502679528403001,
Random Florest,80/20,gini,0.7522788203753351,0.7624664879356569,
Random Florest,70/30,gini,0.7536646406864498,0.7604576331784054,
Random Florest,10-fold,entropy,0.763570049345634,0.7777301008367303,
Random Florest,90/10,entropy,0.7513397642015005,0.7513397642015005,
Random Florest,80/20,entropy,0.7571045576407507,0.760857908847185,
Random Florest,70/30,entropy,0.7518770110833035,0.7643904183053272,
Random Florest,10-fold,log_loss,0.763570049345634,0.7777301008367303,
Random Florest,90/10,log_loss,0.7513397642015005,0.7513397642015005,
Random Florest,80/20,log_loss,0.7571045576407507,0.760857908847185,
Random Florest,70/30,log_loss,0.7518770110833035,0.7643904183053272,
Staking,10-fold,10, 0.7534863763140957,,
Staking,90/10,10, 0.7534833869239014,,
Staking,80/20,10, 0.7683646112600536,,
Staking,70/30,10, 0.7529495888451913,,
Staking,10-fold,20, 0.7555245655438747,,
Staking,90/10,20, 0.7545551982851019,,
Staking,80/20,20, 0.767828418230563,,
Staking,70/30,20, 0.755452270289596,,
Staking,10-fold,6, 0.7528427376099549,,
Staking,90/10,6, 0.7652733118971061,,
Staking,80/20,6, 0.7764075067024129,,
Staking,70/30,6, 0.7672506256703611,,
Ada Boosting,10-fold,AD,0.7040964292187784,0.7070871850643465,
Ada Boosting,10-fold,k-NN,0.5215696936740982,0.5215696936740982,
Ada Boosting,10-fold,NB,0.6481783578031539,0.6496284212434293,
Ada Boosting,10-fold,MLP,0.7091716512597426,0.7059090085191226,
Ada Boosting,90/10,AD,0.6983695652173914,0.7119565217391305,
Ada Boosting,90/10,k-NN,0.5289855072463768,0.5289855072463768,
Ada Boosting,90/10,NB,0.6403985507246377,0.6403985507246377,
Ada Boosting,90/10,MLP,0.7119565217391305,0.7219202898550725,
Ada Boosting,80/20,AD,0.701857725419121,0.7072949705482555,
Ada Boosting,80/20,k-NN,0.539193475305845,0.539193475305845,
Ada Boosting,80/20,NB,0.6502038966923426,0.6502038966923426,
Ada Boosting,80/20,MLP,0.7159039420027187,0.708201178069778,
Ada Boosting,70/30,AD,0.6988825128360012,0.7031108426457263,
Ada Boosting,70/30,k-NN,0.5351857444880701,0.5351857444880701,
Ada Boosting,70/30,NB,0.6490486257928119,0.6457263666565992,
Ada Boosting,70/30,MLP,0.7121715493808517,0.7124735729386892,
Bagging 1,10-fold,AD,0.5948885263730288,0.6095704187058184,
Bagging 1,10-fold,k-NN,0.6184520572775059,0.6298713068696755,
Bagging 1,10-fold,NB,0.6153706724669205,0.6100235635309045,
Bagging 1,10-fold,MLP,0.6431031357621896,0.6456407467826717,
Bagging 1,90/10,AD,0.615036231884058,0.6367753623188406,
Bagging 1,90/10,k-NN,0.6376811594202898,0.6711956521739131,
Bagging 1,90/10,NB,0.605072463768116,0.615036231884058,
Bagging 1,90/10,MLP,0.6322463768115942,0.6476449275362319,
Bagging 1,80/20,AD,0.5917535115541459,0.6085183507023109,
Bagging 1,80/20,k-NN,0.600362483008609,0.6329859537834164,
Bagging 1,80/20,NB,0.6157680108744903,0.6076121431807884,
Bagging 1,80/20,MLP,0.638423198912551,0.6479383778885365,
Bagging 1,70/30,AD,0.5868317728782845,0.6022349743279976,
Bagging 1,70/30,k-NN,0.6070673512533977,0.6357595892479614,
Bagging 1,70/30,NB,0.614315916641498,0.6128057988523105,
Bagging 1,70/30,MLP,0.655693144065237,0.6472364844457867,
Bagging 0.3,10-fold,AD,0.5948885263730288,0.6095704187058184,
Bagging 0.3,10-fold,k-NN,0.6184520572775059,0.6298713068696755,
Bagging 0.3,10-fold,NB,0.6153706724669205,0.6100235635309045,
Bagging 0.3,10-fold,MLP,0.6431031357621896,0.6456407467826717,
Bagging 0.3,90/10,AD,0.615036231884058,0.6367753623188406,
Bagging 0.3,90/10,k-NN,0.6376811594202898,0.6711956521739131,
Bagging 0.3,90/10,NB,0.605072463768116,0.615036231884058,
Bagging 0.3,90/10,MLP,0.6322463768115942,0.6476449275362319,
Bagging 0.3,80/20,AD,0.5917535115541459,0.6085183507023109,
Bagging 0.3,80/20,k-NN,0.600362483008609,0.6329859537834164,
Bagging 0.3,80/20,NB,0.6157680108744903,0.6076121431807884,
Bagging 0.3,80/20,MLP,0.638423198912551,0.6479383778885365,
Bagging 0.3,70/30,AD,0.5868317728782845,0.6022349743279976,
Bagging 0.3,70/30,k-NN,0.6070673512533977,0.6357595892479614,
Bagging 0.3,70/30,NB,0.614315916641498,0.6128057988523105,
Bagging 0.3,70/30,MLP,0.655693144065237,0.6472364844457867,
Bagging 0.5,10-fold,AD,0.6407467826717419,0.679173463839043,
Bagging 0.5,10-fold,k-NN,0.6766358528185608,0.6911364872213159,
Bagging 0.5,10-fold,NB,0.6136487221315933,0.6116548849012144,
Bagging 0.5,10-fold,MLP,0.6709262280224759,0.6714700018125793,
Bagging 0.5,90/10,AD,0.657608695652174,0.6884057971014492,
Bagging 0.5,90/10,k-NN,0.6875,0.7010869565217391,
Bagging 0.5,90/10,NB,0.6068840579710145,0.6168478260869565,
Bagging 0.5,90/10,MLP,0.6947463768115942,0.6739130434782609,
Bagging 0.5,80/20,AD,0.6488445854100588,0.6733121884911645,
Bagging 0.5,80/20,k-NN,0.6696873584050748,0.6923425464431355,
Bagging 0.5,80/20,NB,0.6098776619845945,0.6121431807884006,
Bagging 0.5,80/20,MLP,0.6782963298595378,0.6733121884911645,
Bagging 0.5,70/30,AD,0.6520688613711869,0.6753246753246753,
Bagging 0.5,70/30,k-NN,0.6795530051344005,0.693446088794926,
Bagging 0.5,70/30,NB,0.614315916641498,0.6140138930836605,
Bagging 0.5,70/30,MLP,0.66868015705225,0.6720024161884627,
Bagging 0.8,10-fold,AD,0.694489758926953,0.7236722856624977,
Bagging 0.8,10-fold,k-NN,0.7164219684611202,0.7267536704730833,
Bagging 0.8,10-fold,NB,0.6017763277143375,0.6071234366503535,
Bagging 0.8,10-fold,MLP,0.7069059271343121,0.7116186333152075,
Bagging 0.8,90/10,AD,0.7083333333333334,0.7192028985507246,
Bagging 0.8,90/10,k-NN,0.7273550724637681,0.7246376811594203,
Bagging 0.8,90/10,NB,0.605072463768116,0.615036231884058,
Bagging 0.8,90/10,MLP,0.7309782608695652,0.7219202898550725,
Bagging 0.8,80/20,AD,0.6864521975532397,0.716810149524241,
Bagging 0.8,80/20,k-NN,0.7118260081558677,0.7172632532850023,
Bagging 0.8,80/20,NB,0.6030811055731763,0.6080652469415496,
Bagging 0.8,80/20,MLP,0.716810149524241,0.7181694608065247,
Bagging 0.8,70/30,AD,0.6913319238900634,0.7197221383267894,
Bagging 0.8,70/30,k-NN,0.7139836907278768,0.7197221383267894,
Bagging 0.8,70/30,NB,0.6043491392328602,0.6109936575052854,
Bagging 0.8,70/30,MLP,0.7012987012987013,0.7139836907278768,
Random Florest,10-fold,gini,0.7108936015950698,0.7268442994381004,
Random Florest,90/10,gini,0.7137681159420289,0.730072463768116,
Random Florest,80/20,gini,0.7059356592659719,0.7195287720888084,
Random Florest,70/30,gini,0.7000906070673513,0.7170039263062519,
Random Florest,10-fold,entropy,0.7052746057640022,0.7269349284031177,
Random Florest,90/10,entropy,0.7028985507246377,0.7291666666666666,
Random Florest,80/20,entropy,0.7027639329406434,0.7222473946533756,
Random Florest,70/30,entropy,0.6961643008154637,0.721836303231652,
Random Florest,10-fold,log_loss,0.7052746057640022,0.7269349284031177,
Random Florest,90/10,log_loss,0.7028985507246377,0.7291666666666666,
Random Florest,80/20,log_loss,0.7027639329406434,0.7222473946533756,
Random Florest,70/30,log_loss,0.6961643008154637,0.721836303231652,
Staking,10-fold,10, 0.7033713974986406,,
Staking,90/10,10, 0.7364130434782609,,
Staking,80/20,10, 0.7331218849116448,,
Staking,70/30,10, 0.7254605859257022,,
Staking,10-fold,20, 0.7024651078484684,,
Staking,90/10,20, 0.7065217391304348,,
Staking,80/20,20, 0.7331218849116448,,
Staking,70/30,20, 0.7254605859257022,,
Staking,10-fold,6, 0.6922240348015225,,
Staking,90/10,6, 0.7409420289855072,,
Staking,80/20,6, 0.7313094698685999,,
Staking,70/30,6, 0.7299909392932649,,
